population,split,k,model,n,positive_rate,mean_roc_auc,sd_roc_auc,ci_lo_seed42,ci_hi_seed42,mean_pr_auc
fixed_cohort,visitor-grouped,5,DT,1846.0,0.2313109425785482,0.5534346271705823,0.0,,,0.28689982379929213
fixed_cohort,visitor-grouped,5,RF,1846.0,0.2313109425785482,0.5942926455566905,0.0,,,0.3132895315733053
fixed_cohort,visitor-grouped,10,LR,1846.0,0.2313109425785482,0.5891622628091695,0.03328716432886755,0.5102195365141662,0.647111754124254,0.2995465673745764
fixed_cohort,visitor-grouped,10,XGB,1846.0,0.2313109425785482,0.580045136904754,0.039117779194988114,0.4966085085986656,0.6295794725774083,0.3043014091725851
fixed_cohort,visitor-grouped,10,DT,1846.0,0.2313109425785482,0.5800561797752809,0.0,,,0.3078167681784939
fixed_cohort,visitor-grouped,10,RF,1846.0,0.2313109425785482,0.5933350357507661,0.0,,,0.3321506733703731
fixed_cohort,temporal,0,LR,1846.0,0.2313109425785482,0.5860507246376812,0.0,0.5134053290640413,0.6537829520158881,0.34215504168202493
fixed_cohort,temporal,0,XGB,1846.0,0.2313109425785482,0.5457716620413198,0.0,0.47893696925411794,0.6102451931970678,0.31927408256365836
fixed_cohort,temporal,0,DT,1846.0,0.2313109425785482,0.5182508479802652,0.0,,,0.27809495263678846
fixed_cohort,temporal,0,RF,1846.0,0.2313109425785482,0.5648512180080174,0.0,,,0.3084147651473127
fixed_cohort,temporal,1,LR,1846.0,0.2313109425785482,0.622417514646932,0.0,0.5614387150334198,0.6871973610603764,0.36413981103437226
fixed_cohort,temporal,1,XGB,1846.0,0.2313109425785482,0.531645081714462,0.0,0.45545093287353405,0.6014236799497806,0.31917564100852425
fixed_cohort,temporal,1,DT,1846.0,0.2313109425785482,0.5078438174529757,0.0,,,0.278768501707915
fixed_cohort,temporal,1,RF,1846.0,0.2313109425785482,0.6173874498920752,0.0,,,0.3753580147144412
fixed_cohort,temporal,2,LR,1846.0,0.2313109425785482,0.6236894850447117,0.0,0.5641136718006655,0.6891096074974165,0.36808254090752834
fixed_cohort,temporal,2,XGB,1846.0,0.2313109425785482,0.5201588035769349,0.0,0.4491760655812863,0.5912739172899478,0.2994686006472014
fixed_cohort,temporal,2,DT,1846.0,0.2313109425785482,0.5403176071538699,0.0,,,0.29159482455765007
